,year,country_code,gdpgr,opengr
423,2009,EST,-14.213147163391113,-0.15178053982282214
424,2010,EST,1.6499128341674805,0.23275347708007565
425,2011,EST,7.5470499992370605,0.16376680978190583
426,2012,EST,4.325387477874756,0.018394991571551778
427,2013,EST,2.020840883255005,-0.02718914640350223
428,2014,EST,2.7570695877075195,-0.020992252457108118
429,2015,EST,1.7500189542770386,-0.05608816486060064
430,2016,EST,2.202031135559082,0.005825982865370616
431,2017,EST,,-0.020590151509252252
432,1960,FIN,,
433,1961,FIN,7.605112552642822,-0.04519386729846642
434,1962,FIN,2.981752395629883,-0.000798862547666368
435,1963,FIN,3.284898042678833,-0.0695767347806805
436,1964,FIN,5.238894462585449,0.043863547098842215
437,1965,FIN,5.302948474884033,-0.0027793874911086203
438,1966,FIN,2.3725833892822266,-0.018177962462822883
439,1967,FIN,2.1687517166137695,-0.02581995546050042
440,1968,FIN,2.303257703781128,0.08412650505430208
441,1969,FIN,9.593576431274414,0.08295433253686024
442,1970,FIN,7.470324993133545,0.11025126221947734
443,1971,FIN,2.0636203289031982,-0.039811239707858825
444,1972,FIN,7.599715232849121,0.007046676467137303
445,1973,FIN,6.60076904296875,0.014911852224753108
446,1974,FIN,3.0741868019104004,0.13674768738778664
447,1975,FIN,1.0690820217132568,-0.08992254062431926
448,1976,FIN,0.1653415411710739,-0.021511046584652638
449,1977,FIN,0.6028592586517334,0.06259881222175667
450,1978,FIN,2.501141309738159,0.0028425477385174425
451,1979,FIN,6.723180294036865,0.1046555302917922
452,1980,FIN,5.089277744293213,0.08016609467155855
453,1981,FIN,1.2733794450759888,-0.021416033400280865
454,1982,FIN,3.0968515872955322,-0.06523207642194528
455,1983,FIN,3.0692057609558105,-0.002847520854562191
456,1984,FIN,2.987036943435669,-0.014201746333221354
457,1985,FIN,3.227396011352539,-0.022796146757587454
458,1986,FIN,2.7543935775756836,-0.09632712554181944
459,1987,FIN,3.619126081466675,-0.009864090701502404
460,1988,FIN,5.153494358062744,-0.026589413735912393
461,1989,FIN,5.417373180389404,-0.005915259416584107
462,1990,FIN,0.14246846735477448,-0.04258041111342825
463,1991,FIN,-5.915964126586914,-0.05148721490209496
464,1992,FIN,-3.324657440185547,0.15517532194534778
465,1993,FIN,-0.7344996929168701,0.15811543146611529
466,1994,FIN,3.9401731491088867,0.07357295941710906
467,1995,FIN,4.206286430358887,0.026499807658939112
468,1996,FIN,3.658052444458008,0.026029059847202607
469,1997,FIN,6.252687454223633,0.03844131797065953
470,1998,FIN,5.427816867828369,-0.01824538705197165
471,1999,FIN,4.4441962242126465,-0.011670090854248416
472,2000,FIN,5.634922981262207,0.13222523869870595
473,2001,FIN,2.5814573764801025,-0.06304997498477227
474,2002,FIN,1.6803354024887085,-0.013883826770669683
475,2003,FIN,1.9939961433410645,-0.018079135672099844
476,2004,FIN,3.9260804653167725,0.043412868696542484
477,2005,FIN,2.780543088912964,0.07939486165712806
478,2006,FIN,4.054640769958496,0.07249426186763741
479,2007,FIN,5.185363292694092,0.012084646919385378
480,2008,FIN,0.7206684947013855,0.040106910724423406
481,2009,FIN,-8.269036293029785,-0.1847218190983504
482,2010,FIN,2.992337465286255,0.07880975862610673
483,2011,FIN,2.570817708969116,0.0404800696650629
484,2012,FIN,-1.4261893033981323,0.015609592078606571
485,2013,FIN,-0.7585648894309998,-0.023532032298199668
486,2014,FIN,-0.6317314505577087,-0.039981730556014505
487,2015,FIN,0.13508297502994537,-0.025400500169155182
488,2016,FIN,2.1353931427001953,-0.007281790962286205
489,2017,FIN,,0.05181677676375318
490,1960,FRA,,
491,1961,FRA,5.121700763702393,-0.020108894255047582
492,1962,FRA,6.543034076690674,-0.05891894971350098
493,1963,FRA,6.428380966186523,0.0017726909217194997
494,1964,FRA,6.571018218994141,0.031332755276360036
495,1965,FRA,4.861592769622803,-0.004074190433419944
496,1966,FRA,5.234917163848877,0.02373773304030169
497,1967,FRA,4.9516096115112305,-0.006302331964910479
498,1968,FRA,4.415877819061279,0.01702479810518498
499,1969,FRA,7.187062740325928,0.08295192239344251
500,1970,FRA,6.087178707122803,0.08539647313813048
501,1971,FRA,5.321887969970703,0.018778794326353987
502,1972,FRA,4.600711822509766,0.014416900767785013
503,1973,FRA,6.265981197357178,0.059609620199055025
504,1974,FRA,4.302557945251465,0.23105837996766843
505,1975,FRA,-0.9957255125045776,-0.13372510994369824
506,1976,FRA,4.298319339752197,0.07925843800266752
507,1977,FRA,3.492253065109253,0.026164227306806787
508,1978,FRA,3.9935715198516846,-0.029471918598227176
509,1979,FRA,3.521507501602173,0.040449968114791846
510,1980,FRA,1.5756568908691406,0.060171132800096006
511,1981,FRA,1.0925463438034058,0.04386558342281055
512,1982,FRA,2.447232484817505,-0.0034916696285078874
513,1983,FRA,1.275373101234436,-0.002487162001203025
514,1984,FRA,1.6591018438339233,0.05321242902332579
515,1985,FRA,1.6437678337097168,-0.01105216185409763
516,1986,FRA,2.2899675369262695,-0.1303458219569814
517,1987,FRA,2.5742509365081787,-0.014558305615339329
518,1988,FRA,4.620163917541504,0.02728729791024387
519,1989,FRA,4.483459949493408,0.06304469777170674
520,1990,FRA,2.944918632507324,-0.028765199953274534
521,1991,FRA,1.0205490589141846,0.005794170075575478
522,1992,FRA,1.4619821310043335,-0.023080155072809028
523,1993,FRA,-0.5533599853515625,-0.04968825915462649
524,1994,FRA,2.3172595500946045,0.04814219328246616
525,1995,FRA,2.1746160984039307,0.04351072436824355
526,1996,FRA,1.3675488233566284,0.015651101254567035
527,1997,FRA,2.341698169708252,0.08356245223243164
528,1998,FRA,3.558135747909546,0.030671718696326566
529,1999,FRA,3.2974894046783447,0.005133641318146864
530,2000,FRA,4.025830268859863,0.1225927896831489
531,2001,FRA,1.9707239866256714,-0.01614500212580272
532,2002,FRA,1.0733122825622559,-0.03434082304800801
533,2003,FRA,0.8547972440719604,-0.04285101641128419
534,2004,FRA,2.5898187160491943,0.022189530537032764
535,2005,FRA,1.654799222946167,0.03958978534621371
536,2006,FRA,2.530181884765625,0.03932367692088534
537,2007,FRA,2.3553194999694824,0.005655982174351815
538,2008,FRA,0.07353867590427399,0.017304626400747924
539,2009,FRA,-2.8821535110473633,-0.12081866868163527
540,2010,FRA,1.8937785625457764,0.08729936814403594
541,2011,FRA,2.109750270843506,0.07149531628665917
542,2012,FRA,0.22911012172698975,0.015503844323359273
543,2013,FRA,0.603806734085083,0.0010384901291513593
544,2014,FRA,0.9909021854400635,0.011959194204677503
545,2015,FRA,0.9793497323989868,0.021047048064288365
546,2016,FRA,1.1084262132644653,-0.010085553933827596
547,2017,FRA,,0.02842125875343071
548,1960,DEU,,
549,1961,DEU,4.715,-0.04531360059759704
550,1962,DEU,4.713,-0.008220998072752339
551,1963,DEU,2.931,0.020043788702303056
552,1964,DEU,6.422,0.011910014541770986
553,1965,DEU,5.259,0.039871316659216394
554,1966,DEU,2.89,0.01887634795820703
555,1967,DEU,-0.246,0.01124822630774247
556,1968,DEU,5.539,0.05057775199959513
557,1969,DEU,7.461,0.040276225217172223
558,1970,DEU,5.037,-0.004430621764025089
559,1971,DEU,3.012,-0.027334118064908486
560,1972,DEU,4.268,-0.0036017695397452254
561,1973,DEU,4.965,0.03156665079696608
562,1974,DEU,1.006,0.16557772972524343
563,1975,DEU,-0.892,-0.028290649838541126
564,1976,DEU,4.445,0.06860874967176112
565,1977,DEU,3.502,-0.006938157920370891
566,1978,DEU,3.106,-0.02423532212141477
567,1979,DEU,4.285,0.05499679253734824
568,1980,DEU,1.304,0.06704779367204505
569,1981,DEU,0.648,0.05563476019963853
570,1982,DEU,-0.513,0.004618520868725939
571,1983,DEU,1.467,-0.01829529392084195
572,1984,DEU,2.911,0.06120127163274969
573,1985,DEU,2.604,0.036162247095109734
574,1986,DEU,2.27,-0.10375594296088853
575,1987,DEU,1.279,-0.029227760918633106
576,1988,DEU,3.439,0.020078443186070105
577,1989,DEU,4.047,0.06324341528880195
578,1990,DEU,5.475,0.014318867875450003
579,1991,DEU,5.201,0.042603379522708096
580,1992,DEU,1.5140552520751953,-0.06096002984915949
581,1993,DEU,-0.9787774682044983,-0.0977959610228809
582,1994,DEU,2.5291786193847656,0.03514981555843866
583,1995,DEU,1.8087801933288574,0.03498138352551927
584,1996,DEU,0.8567564487457275,0.033345259769726354
585,1997,DEU,1.9105807542800903,0.10232543564832364
586,1998,DEU,1.7694724798202515,0.03995541222522747
587,1999,DEU,1.8479124307632446,0.03463514147235314
588,2000,DEU,3.1913976669311523,0.1502835423636557
589,2001,DEU,1.8239036798477173,0.009574849323994217
590,2002,DEU,0.03222484514117241,-0.019439057210807742
591,2003,DEU,-0.719484806060791,0.01227716053557315
592,2004,DEU,0.6976560950279236,0.07049807108780648
593,2005,DEU,0.8781112432479858,0.06931900472105013
594,2006,DEU,3.875847578048706,0.09458772281468142
595,2007,DEU,3.3673300743103027,0.029687280469659738
596,2008,DEU,0.8181290626525879,0.019835699723814493
597,2009,DEU,-5.564844131469727,-0.12699811847318376
598,2010,DEU,3.947603225708008,0.1222390700919338
599,2011,DEU,3.717529773712158,0.06865622369269908
600,2012,DEU,0.6859426498413086,0.013298645285248156
601,2013,DEU,0.599708616733551,-0.012091212831337184
602,2014,DEU,1.9266935586929321,-0.005553864065236946
603,2015,DEU,1.5042741298675537,0.01596296864372837
604,2016,DEU,1.8553500175476074,-0.020414532484257175
605,2017,DEU,,0.03062687368519712
606,1960,GRC,,
607,1961,GRC,13.204,-0.03550823412503834
608,1962,GRC,0.365,-0.02102162531762697
609,1963,GRC,11.845,0.05346121107660262
610,1964,GRC,9.41,0.0008560652055500384
611,1965,GRC,10.768,0.0125533659651349
612,1966,GRC,6.495,0.01208318876202652
613,1967,GRC,5.669,-0.029860137115449215
614,1968,GRC,7.204,-0.02419171396642139
615,1969,GRC,11.564,-0.014497082349536838
616,1970,GRC,8.931,-0.00792290025542497
617,1971,GRC,7.841,0.009054978074369613
618,1972,GRC,10.16,0.08570019554701713
619,1973,GRC,8.092,0.2532892060324692
620,1974,GRC,-6.438,0.1180749660813698
621,1975,GRC,6.367,-0.004338596568866926
622,1976,GRC,6.852,-0.0125782103949863
623,1977,GRC,2.941,-0.006224717728790741
624,1978,GRC,7.247,-0.04399655180173556
625,1979,GRC,3.282,0.07229530859994959
626,1980,GRC,0.677,0.2548000813909408
627,1981,GRC,-1.554,0.0572944492217482
628,1982,GRC,-1.133,-0.11219286920713778
629,1983,GRC,-1.079,-0.016152097665246612
630,1984,GRC,2.011,-0.0067285092071651675
631,1985,GRC,2.51,-0.012482367930943261
632,1986,GRC,0.518,0.05605776768236481
633,1987,GRC,-2.259,-0.00782330692740607
634,1988,GRC,4.288,-0.06392308208541164
635,1989,GRC,3.8,0.02955123085109923
636,1990,GRC,0.0,-0.016073760551355343
637,1991,GRC,3.1,-0.038265254629462286
638,1992,GRC,0.7,0.005954480098484538
639,1993,GRC,-1.6,-0.046279498611504266
640,1994,GRC,2.0,-0.023302066931526366
641,1995,GRC,2.1,0.02612495824475336
642,1996,GRC,2.8954365253448486,0.010465432140019715
643,1997,GRC,4.6001973152160645,0.0474181004330303
644,1998,GRC,3.8707387447357178,0.07623446723207539
645,1999,GRC,2.948441505432129,0.12087835133106917
646,2000,GRC,4.053917407989502,0.23298098679544754
647,2001,GRC,4.190118312835693,-0.03895717725103953
648,2002,GRC,3.987596035003662,-0.10315235294924452
649,2003,GRC,5.80844259262085,-0.04287890524141491
650,2004,GRC,4.771553993225098,0.03545023468518127
651,2005,GRC,0.7936946749687195,0.020089205193589255
652,2006,GRC,5.585555076599121,0.038297584755935254
653,2007,GRC,3.168354034423828,0.08844122562168111
654,2008,GRC,-0.23280470073223114,0.031383910613204336
655,2009,GRC,-4.3128533363342285,-0.1952793642039774
656,2010,GRC,-5.461909294128418,0.10651110038256228
657,2011,GRC,-9.16965103149414,0.09493858498441199
658,2012,GRC,-7.320309638977051,0.06868642235008204
659,2013,GRC,-3.1676836013793945,0.027522511330077215
660,2014,GRC,0.7720752954483032,0.05715300931341316
661,2015,GRC,-0.347626656293869,-0.060972800223977996
662,2016,GRC,-0.26029667258262634,-0.03512210578801167
663,2017,GRC,,0.10124878925282199
664,1990,HUN,,
665,1991,HUN,,0.25823060595656844
666,1992,HUN,-3.064180374145508,-0.05002707176205001
667,1993,HUN,-0.5761085152626038,-0.033980466768504636
668,1994,HUN,2.9471545219421387,0.05414671182180797
669,1995,HUN,1.4895254373550415,0.388389720205945
670,1996,HUN,0.014154781587421894,0.06289680564785338
671,1997,HUN,3.340163469314575,0.13901657033107373
672,1998,HUN,4.2358479499816895,0.13149261300282467
673,1999,HUN,3.186896324157715,0.06077977800578305
674,2000,HUN,4.209179878234863,0.20456324048460228
675,2001,HUN,3.840510368347168,-0.045933875658440204
676,2002,HUN,4.528205871582031,-0.09752643309494646
677,2003,HUN,3.8486196994781494,-0.012912097694474212
678,2004,HUN,5.004918098449707,0.056295543011842586
679,2005,HUN,4.388215065002441,0.0355407422826608
680,2006,HUN,3.851172924041748,0.17038452750096766
681,2007,HUN,0.434761643409729,0.041242432211940905
682,2008,HUN,0.8555130362510681,0.01938078648145214
683,2009,HUN,-6.599974155426025,-0.0848667576860842
684,2010,HUN,0.6823781728744507,0.09373648825056269
685,2011,HUN,1.661916732788086,0.057058073528269526
686,2012,HUN,-1.6437798738479614,-0.0075399670227256355
687,2013,HUN,2.0962166786193848,-0.01069971629950539
688,2014,HUN,4.227733135223389,0.0281116214091528
689,2015,HUN,3.36714506149292,0.005147113219327926
690,2016,HUN,2.2131874561309814,-0.0023163222408151274
691,2017,HUN,,-0.003011600237953438
692,1960,ISL,,
693,1961,ISL,-0.08357971906661987,-0.08816893761640665
694,1962,ISL,8.312682151794434,0.0853752698586292
695,1963,ISL,10.283143997192383,-0.03327633922379636
696,1964,ISL,9.9169282913208,-0.09707576599381984
697,1965,ISL,7.28927755355835,-0.05817073185168564
698,1966,ISL,8.736574172973633,-0.061496533426738
699,1967,ISL,-1.2683372497558594,-0.038741138089477656
700,1968,ISL,-5.474545955657959,0.10679218165160731
701,1969,ISL,2.3742823600769043,0.18124904362684124
702,1970,ISL,7.459220886230469,0.044746921605085976
703,1971,ISL,13.060837745666504,-0.0787063362003062
704,1972,ISL,6.177334308624268,-0.11661889964817218
705,1973,ISL,6.806009769439697,0.01879446273722496
706,1974,ISL,5.706292152404785,-0.00879657284548685
707,1975,ISL,0.646155059337616,0.03315098994847432
708,1976,ISL,5.959367752075195,-0.0831538686812624
709,1977,ISL,8.822277069091797,-0.03028057465976408
710,1978,ISL,6.016714572906494,0.051961409867027575
711,1979,ISL,4.86058235168457,0.06635784607484663
712,1980,ISL,5.747920513153076,-0.05020909190434364
713,1981,ISL,4.265007019042969,-0.0037697909444981414
714,1982,ISL,2.1545662879943848,-0.023068413577679192
715,1983,ISL,-2.1511616706848145,0.11783486937215093
716,1984,ISL,4.1291184425354,-0.014955377756501576
717,1985,ISL,3.2928414344787598,0.056061121056745655
718,1986,ISL,6.270542144775391,-0.08718668886732672
719,1987,ISL,8.545939445495605,-0.05075985375125569
720,1988,ISL,-0.0897260308265686,-0.07450072975268596
721,1989,ISL,0.2584398686885834,0.006124140064008188
722,1990,ISL,1.1693702936172485,0.01817833904433286
723,1991,ISL,-0.2235255092382431,-0.032516447448190156
724,1992,ISL,-3.373894214630127,-0.04947300366683105
725,1993,ISL,1.313449501991272,0.028129255675153786
726,1994,ISL,3.6088578701019287,0.06409843946542582
727,1995,ISL,0.11658370494842529,0.015947299989138575
728,1996,ISL,4.785062313079834,0.06702008499952106
729,1997,ISL,4.91318941116333,-0.02025229487839386
730,1998,ISL,7.018609046936035,0.02078042769316668
731,1999,ISL,3.8944954872131348,-0.03412087823525922
732,2000,ISL,4.602995872497559,0.02594200886605047
733,2001,ISL,3.927537202835083,0.05144131076997982
734,2002,ISL,0.5505062937736511,-0.07253247050278999
735,2003,ISL,2.35671067237854,-0.018099394611464037
736,2004,ISL,8.074284553527832,0.026369414010256165
737,2005,ISL,6.390525817871094,0.0357860481852863
738,2006,ISL,5.01718807220459,0.08314080538303203
739,2007,ISL,9.428278923034668,-0.044654556202076146
740,2008,ISL,1.6589149236679077,0.11047441071896635
741,2009,ISL,-6.50525426864624,0.06060675080761202
742,2010,ISL,-3.6056363582611084,0.063482020243121
743,2011,ISL,1.9630239009857178,0.0821338567413008
744,2012,ISL,1.3192600011825562,0.02404656886576273
745,2013,ISL,4.308137893676758,-0.047581461145611126
746,2014,ISL,2.2003464698791504,-0.023288049197281446
747,2015,ISL,4.3113179206848145,-0.0027749239254322156
748,2016,ISL,7.481450080871582,-0.08389601393648971
749,2017,ISL,,-0.004990762862305265
750,1960,IRL,,
751,1961,IRL,5.017,0.07782354923730606
752,1962,IRL,3.215,-0.04324994894712331
753,1963,IRL,4.747,0.04503598669022191
754,1964,IRL,3.786,0.0006277254252693432
755,1965,IRL,1.932,0.058383080529118336
756,1966,IRL,0.893,0.021871731700254582
757,1967,IRL,5.786,-0.020149427839751044
758,1968,IRL,8.244,0.0680911314017274
759,1969,IRL,5.864,-0.004321523440873554
760,1970,IRL,2.661,-0.021551612938891518
761,1971,IRL,3.47,-0.029857410153410813
762,1972,IRL,6.49,-0.06335773241106035
763,1973,IRL,4.721,0.11247333018694183
764,1974,IRL,4.26,0.20523553855272536
765,1975,IRL,5.657,-0.08414507870420773
766,1976,IRL,1.395,0.09864028205843822
767,1977,IRL,8.211,0.07410723005663367
768,1978,IRL,7.187,0.017472761257767644
769,1979,IRL,3.073,0.0560308905492477
770,1980,IRL,3.079,-0.028453065990195148
771,1981,IRL,3.325,-0.012985818261178395
772,1982,IRL,2.283,-0.06937309253592838
773,1983,IRL,-0.244,0.040085444642215196
774,1984,IRL,4.354,0.1081374359669891
775,1985,IRL,3.086,-0.005023300014143639
776,1986,IRL,-0.428,-0.09869872018210113
777,1987,IRL,4.663,0.0372581765605795
778,1988,IRL,5.217,0.04441200234139675
779,1989,IRL,5.814,0.06887449734805307
780,1990,IRL,8.467,-0.0661172180737607
781,1991,IRL,1.9296395778656006,0.013432306551335538
782,1992,IRL,3.3432743549346924,0.029173317631256523
783,1993,IRL,2.6926090717315674,0.06442296443612539
784,1994,IRL,5.755826950073242,0.08478558033782346
785,1995,IRL,9.634422302246094,0.07600904243867235
786,1996,IRL,7.7729692459106445,0.02032729048906723
787,1997,IRL,10.251099586486816,0.026085821791343777
788,1998,IRL,8.477611541748047,0.11000485519094405
789,1999,IRL,10.626728057861328,0.013710769854030191
790,2000,IRL,9.574702262878418,0.09364072334898577
791,2001,IRL,5.836000919342041,-0.0006400593810665933
792,2002,IRL,6.319490432739258,-0.06434402743791134
793,2003,IRL,3.1402010917663574,-0.10510857266378415
794,2004,IRL,6.7547197341918945,0.0009818993440584567
795,2005,IRL,6.021015644073486,0.010793024514542227
796,2006,IRL,5.5379719734191895,0.011323854413173962
797,2007,IRL,5.1576995849609375,0.02223741155915948
798,2008,IRL,-3.9328982830047607,0.041303067249339076
799,2009,IRL,-4.667269229888916,0.08378063112841838
800,2010,IRL,1.7606232166290283,0.09500360407332531
801,2011,IRL,2.934926986694336,-0.005404515129791787
802,2012,IRL,0.040912505239248276,0.016011324215648326
803,2013,IRL,1.6216586828231812,-0.01660736645960792
804,2014,IRL,8.297683715820312,0.07039331095151091
805,2015,IRL,25.485166549682617,0.0691729106885679
806,2016,IRL,5.132303237915039,0.04324962622605044
807,2017,IRL,,-0.06838503919596117
808,1960,ITA,,
809,1961,ITA,8.20657730102539,0.01180157123648562
810,1962,ITA,6.204071044921875,0.008495870405968997
811,1963,ITA,5.610202789306641,0.023942366842551133
812,1964,ITA,2.7964844703674316,-0.036148616333227857
813,1965,ITA,3.2689318656921387,0.035374098767005924
814,1966,ITA,5.984688758850098,0.04862087792376135
815,1967,ITA,7.178654670715332,0.009011948196590902
816,1968,ITA,6.544497489929199,0.020057629055636017
817,1969,ITA,6.098081111907959,0.06556084118064787
818,1970,ITA,5.310490131378174,-0.03220299103791335
819,1971,ITA,1.9340568780899048,0.009876368193973972
820,1972,ITA,3.154279947280884,0.04693756264464022
821,1973,ITA,6.548872947692871,0.07044398371706762
822,1974,ITA,5.276768207550049,0.1978047449234177
823,1975,ITA,-2.0496416091918945,-0.08338307519283272
824,1976,ITA,6.528505325317383,0.10137951826016445
825,1977,ITA,2.358976364135742,0.014991087538163805
826,1978,ITA,3.650845766067505,-0.012947220131832804
827,1979,ITA,5.531315803527832,0.059178190205672276
828,1980,ITA,3.4779443740844727,-0.01688255764784119
829,1981,ITA,0.7808669209480286,0.0537415510463537
830,1982,ITA,0.3255860507488251,-0.039170470895038445
831,1983,ITA,1.365851640701294,-0.07627299430202106
832,1984,ITA,3.2102818489074707,0.05588307522864766
833,1985,ITA,2.8396196365356445,0.004747929799238548
834,1986,ITA,2.9704082012176514,-0.15183284145490017
835,1987,ITA,2.957681655883789,-0.01661307979201887
836,1988,ITA,4.299822807312012,-0.01269658385615513
837,1989,ITA,3.474919319152832,0.055300720721181085
838,1990,ITA,1.952006459236145,-0.019728777405040865
839,1991,ITA,1.5322824716567993,-0.06726873541683198
840,1992,ITA,0.6993849277496338,0.030558420596513702
841,1993,ITA,-0.8579261302947998,0.0815056152183411
842,1994,ITA,2.2812554836273193,0.0713945500101647
843,1995,ITA,2.9613239765167236,0.1292675912575325
844,1996,ITA,1.0001229047775269,-0.062022053905521846
845,1997,ITA,1.953323483467102,0.03952555008592973
846,1998,ITA,1.4507595300674438,0.011822052627750823
847,1999,ITA,1.5070278644561768,-0.010723296051004638
848,2000,ITA,3.995811700820923,0.12854816906270683
849,2001,ITA,1.561204195022583,-0.005275929320377903
850,2002,ITA,0.24707545340061188,-0.04002930197485588
851,2003,ITA,0.24118377268314362,-0.04003824191747363
852,2004,ITA,1.3784875869750977,0.027556461568786217
853,2005,ITA,1.1384040117263794,0.03933586069556294
854,2006,ITA,2.1044676303863525,0.07848959632944719
855,2007,ITA,1.3297878503799438,0.03605343963515928
856,2008,ITA,-1.0484001636505127,-0.008976765709204138
857,2009,ITA,-5.534210205078125,-0.16646986979241385
858,2010,ITA,1.648282766342163,0.14770053614288892
859,2011,ITA,0.7200380563735962,0.06184645891918339
